2006WZ184,26.0*,2084-11-24 12:49,1/9.8E6,-7.83,0,13.32,2272
2011WN69,24.0*,2024-11-25 02:41,1/1.56E8,-7.84,0,26.44,448
2011BH40,43.0*,2024-07-26 23:34,1/1.8E8,-7.9,0,12.39,672
2008OO1,51.0*,2088-07-22 04:44,1/8.55E7,-7.9,0,17.17,1638
2006XZ2,16.0*,2074-12-23 22:44,1/4.69E6,-7.9,0,14.38,2259
2009TM8,8.0*,2079-10-18 13:48,1/854700,-7.91,0,13.73,1223
2006YE,14.0*,2088-01-13 18:43,1/2.54E6,-7.91,0,12.66,2257
2003UM3,11.0*,2069-10-12 21:03,1/2.56E6,-7.92,0,18.39,3413
2011EM40,11.0*,2054-09-12 21:12,1/3.38E6,-7.93,0,15.47,672
2007VD8,11.0*,2086-11-02 23:00,1/2.72E6,-7.94,0,16.74,1933
2013CY,9.0*,2072-11-12 17:14,1/1.26E6,-7.96,0,11.44,17
2012BK14,15.0*,2038-01-12 16:02,1/2.54E6,-7.97,0,11.47,394
2011BA60,150.0*,2057-01-07 11:44,1/6.54E9,-7.97,0,20.73,672
2006UC64,43.0*,2078-04-18 16:38,1/1.26E8,-8.0,0,23.02,2310
2005GQ33,75.0*,2081-10-25 08:20,1/5.52E8,-8.01,0,24.45,2876
2006UQ216,15.0*,2074-03-01 20:43,1/3.95E6,-8.04,0,11.8,2303
2009DV,45.0*,2044-02-15 21:30,1/3.92E8,-8.07,0,25.21,660
2002XV90,38.0*,2090-12-11 06:58,1/3.97E7,-8.07,0,13.53,3703
2012TP20,11.0*,2079-10-02 13:11,1/2.85E6,-8.07,0,13.36,131
2009VT1,5.0*,2046-10-19 08:20,1/769230,-8.08,0,13.16,1197
2000SZ162,15.0*,2078-07-15 00:04,1/4.08E6,-8.09,0,11.93,4519
2003WT153,10.0*,2057-09-23 04:58,1/2.45E6,-8.1,0,11.88,3369
2008BN16,28.0*,2079-01-22 14:53,1/5.68E7,-8.11,0,22.08,1846
2005TH50,11.0*,2077-10-03 16:49,1/2.11E6,-8.13,0,12.13,2687
2005UC3,16.0*,2088-10-05 16:54,1/6.17E6,-8.14,0,13.71,2673
2008TS10,7.0*,2068-09-20 06:42,1/1.28E6,-8.22,0,11.62,1594
2005CP7,39.0*,2079-01-26 00:39,1/7.04E7,-8.24,0,13.42,2935
2007FP3,9.0*,2059-03-15 20:53,1/3.34E6,-8.25,0,14.81,2162
2010RM80,11.0*,2085-09-05 02:18,1/3.24E6,-8.29,0,12.41,891
2010CK19,11.0*,2089-02-14 01:41,1/3.26E6,-8.3,0,12.25,1100
2005UA1,23.0*,2033-10-20 12:48,1/9.8E7,-8.3,0,18.52,2660
2010VR139,20.0*,2017-10-10 12:50,1/1.75E8,-8.34,0,12.05,828
1999FQ10,92.0*,2081-03-01 03:55,1/7.52E8,-8.34,0,13.58,5082
2008VL,13.0*,2031-10-29 07:32,1/3.15E7,-8.35,0,16.61,1569
2012SU9,15.0*,2091-01-09 04:03,1/1.2E7,-8.37,0,15.59,152
2011AZ36,46.0*,2049-12-29 00:45,1/1.91E8,-8.37,0,15.46,672
1993UA,34.0*,2081-10-19 20:41,1/7.14E7,-8.37,0,14.73,7059
2006UJ185,11.0*,2052-10-30 20:30,1/1.4E7,-8.39,0,19.05,2305
2005VP,32.0*,2053-11-01 07:22,1/1.35E8,-8.39,0,15.26,2664
2007XB23,16.0*,2062-12-11 07:32,1/1.64E7,-8.46,0,12.07,1893
2006BO7,6.0*,2067-05-31 02:25,1/1.84E6,-8.48,0,14.89,2584
2002AN129,26.0*,2043-05-05 17:02,1/1.31E8,-8.5,0,16.31,4054
2012VU76,31.0*,2095-05-12 10:36,1/6.1E7,-8.5,0,12.21,100
2011HN24,13.0*,2027-02-02 17:40,1/4.83E7,-8.58,0,12.68,661
2010DG1,54.0*,2077-02-08 00:35,1/8.47E8,-8.61,0,21.15,1097
2011HP4,13.0*,2055-05-01 06:12,1/3.75E7,-8.62,0,18.34,664
2008UY91,63.0*,2037-04-24 07:42,1/1.74E9,-8.71,0,19.65,1574
2008GM2,9.0*,2090-04-03 03:26,1/5.18E6,-8.74,0,12.1,1779
2010XQ,38.0*,2064-12-05 04:47,1/3.33E8,-8.78,0,14.12,810
2003YS70,7.0*,2081-01-04 20:15,1/3.34E6,-8.79,0,11.62,3343
2008GY21,13.0*,2065-04-07 15:32,1/3.5E7,-8.85,0,16.12,1772
2012BW13,15.0*,2072-01-27 10:45,1/5.05E7,-8.86,0,16.13,395
2009VA,8.0*,2033-11-06 19:44,1/2.44E7,-8.87,0,13.74,1201
2009EJ1,9.0*,2067-11-03 11:20,1/1.67E7,-8.89,0,15.45,1449
2011BU59,24.0*,2090-01-16 10:21,1/1.69E8,-8.9,0,15.92,672
2012XK134,22.0*,2096-12-04 08:46,1/6.67E7,-8.92,0,12.22,72
2011AD3,21.0*,2046-01-01 07:16,1/3.13E8,-8.93,0,18.69,672
2010XU,36.0*,2080-08-19 16:19,1/2.77E8,-8.93,0,12.78,672
2012WR10,8.0*,2081-06-18 04:05,1/7.75E6,-8.98,0,11.5,91
2005TA,15.0*,2085-10-04 19:06,1/3.22E7,-8.98,0,12.18,2695
2008XK,15.0*,2082-12-07 12:13,1/4.98E7,-8.99,0,15.61,1540
2008CB6,16.0*,2087-04-28 20:34,1/4.95E7,-9.02,0,13.36,1838
2009XQ2,38.0*,2031-12-17 04:09,1/2.38E10,-9.05,0,31.02,660
2011CA7,4.0*,2062-02-19 17:33,1/2.54E6,-9.06,0,14.3,672
2011YC63,7.0*,2047-12-30 04:41,1/3.29E7,-9.08,0,21.83,414
2007YS56,29.0*,2084-12-25 12:09,1/3.52E8,-9.2,0,14.43,1867
2013BR15,40.0*,2098-01-02 07:29,1/8.47E8,-9.2,0,17.64,32
2008YD3,25.0*,2022-12-13 14:40,1/2.4E9,-9.26,0,13.65,1520
2009FK,9.0*,2055-03-20 23:36,1/3.61E7,-9.27,0,13.24,660
